race,standard_text
white,white
black or african american,black or african american
caucasian,white
asian,asian
oljciciasian,asian
black,black or african american
african american,black or african american
black and,black or african american
white or caucasian,white
caucasian/white,white
white or or,white
american indian or alaska native,american indian or alaska native
alaska native or american indian,american indian or alaska native
american indian,american indian or alaska native
alaska native,american indian or alaska native
alaskan native,american indian or alaska native
african-american,black or african american
white/caucasian,white
african american/black,black or african american
black/african american,black or african american
american/black,black or african american
black/american,black or african american
native american,american indian or alaska native
american,american indian or alaska native
black or african,black or african american
african,black or african american
native hawaiian or other pacific islander,native hawaiian or other pacific islander
Native,native hawaiian or other pacific islander
other pacific,native hawaiian or other pacific islander
or Pacific,native hawaiian or other pacific islander
native hawaiian,native hawaiian or other pacific islander
Hawaiian,native hawaiian or other pacific islander
pacific islander / hawaiian native,native hawaiian or other pacific islander
other pacific islander,native hawaiian or other pacific islander
native hawaiian / pacific islander,native hawaiian or other pacific islander
pacific islander,native hawaiian or other pacific islander
native hawaiian or pacific islander,native hawaiian or other pacific islander
pacificislander,native hawaiian or other pacific islander
nativehawaiian,native hawaiian or other pacific islander
pacific islander or hawaiian native,native hawaiian or other pacific islander
pacific islander or native hawaiian,native hawaiian or other pacific islander
africanamerican,black or african american
american indian / alaskan native,american indian or alaska native
american indian / alaska native,american indian or alaska native
black / african american,black or african american
alasken,american indian or alaska native
caucasion/white,white
caucasion or white,white
indian/alaska native,american indian or alaska native
indian or alaska native,american indian or alaska native
black/african,black or african american
caucaslan/white,white
american indian or alaska nat,american indian or alaska native
american indian or alaska,american indian or alaska native
american indian or alaskan native,american indian or alaska native
native hawaiian/other pacific,native hawaiian or other pacific islander
native hawallan or other pacific islander,native hawaiian or other pacific islander
pacificlslander,native hawaiian or other pacific islander
pacific islander / mawaiian nalive,native hawaiian or other pacific islander
___native american,american indian or alaska native
___alaska native,american indian or alaska native
jamerican indian,american indian or alaska native
l_jamerican indian,american indian or alaska native
imerican indian,american indian or alaska native
asian__,asian
_asian,asian
oasian,asian
ljasian,asian
ciasian,asian
clasian,asian
ezucasian,white
kcaucasian,white
wiftite or caucasiai,white
mcaucasian,white
facaucasian,white
xcaucasian,white
lwhite or caucasian,white
aucasian,white
swhite,white
afriean american / black,black or african american
afriean american,black or african american
patrica american,black or african american
african anferican,black or african american
frican american,black or african american
_afnican - american / black,black or african american
